zone_id,plant_id,start_seed_indoors,plant_outdoors,spring_planting,fall_planting
6,Spinach,,,April 1 - 20,August 10 - September 20
6,"Squash, bush",,May 15 - 30,,
6,"Squash, winter",,May 15 - 30,,
6,Tomato,,May 15 - 30,,
6,Turnip,,,March 25 - May 1,August 5 - September 20
6,Watermelon,,May 10 - 20,,
7,Asparagus,,,January 15 - March 15,November - December
7,"Bean, bush",,,April 1 - May 1,July 15 - August 20
7,"Bean, pole",,,April 1 - May 1,July 15 - August 10
7,"Bean, lima",,,April 1 - June 1,July 1 - August 1
7,Beet,,,February 15 - April 1,August 1 - September 20
7,Broccoli,,,February 15 - March 15,August 1 - September 1
7,Cabbage,,,January 15 - March 15,August 15 - October 1
7,Cantaloupe,,March 25 - April 20,,
7,Carrot,,,January 15 - March 20,August 20 - September 15
7,Cauliflower,,,March 1 - April 1,August 1 - September 1
7,Collard,,,February 1 - March 20,August 1 - October 1
7,Corn,,,March 15 - June 1,June 1 - July 20
7,Cucumber,,,April 1 - May 15,August 20 - September 1
7,Eggplant,,,April 1 - May 15,July 10 - 15
7,Kale,,,February 1 - March 10,August 10 - 30
7,"Lettuce, leaf",,,January 15 - March 1,September 1 - October 1
7,Mustard,,,January 15 - April 1,August 20 - October 1
7,Okra,,,April 1 - June 1,June 15 - July 1
7,Onion,,,January 1 - March 15,September 1 - December 31
7,"Peas, garden",,January 15 - February 15,,
7,Peas,,April 1 - August 1,,
7,Pepper,,April 1 - June 1,,
7,Potato,,,January 15 - March 1,August 1 - August 15
7,Sweet Potato,,April 15 - June 15,,
7,Radish,,,January 15 - April 1,September 1 - October 15
7,Spinach,,,January 15 - March 15,September 1 - October 15
7,"Squash, bush",,,April 1 - May 15,August 1 - 20
7,"Squash, winter",,April 1 - August 1,,
7,Tomato,,,March 25 - May 1,June 1 - August 10
7,Turnip,,,January 15 - April 1,August 10 - September 15
7,Watermelon,,March 20 - May 1,,
8,Asparagus,,,January 15 - March 15,November - December
8,"Bean, bush",,,April 1 - May 1,July 15 - August 20
8,"Bean, pole",,,April 1 - May 1,July 15 - August 10
8,"Bean, lima",,,April 1 - June 1,July 1 - August 1
8,Beet,,,February 15 - April 1,August 1 - September 20
8,Broccoli,,,February 15 - March 15,August 1 - September 1
8,Cabbage,,,January 15 - March 15,August 15 - October 1
8,Cantaloupe,,March 25 - April 20,,
8,Carrot,,,January 15 - March 20,August 20 - September 15
8,Cauliflower,,,March 1 - April 1,August 1 - September 1
8,Collard,,,February 1 - March 20,August 1 - October 1
8,Corn,,,March 15 - June 1,June 1 - July 20
8,Cucumber,,,April 1 - May 15,August 20 - September 1
8,Eggplant,,,April 1 - May 15,July 10 - 15
8,Kale,,,February 1 - March 10,August 10 - 30
8,"Lettuce, leaf",,,January 15 - March 1,September 1 - October 1
8,Mustard,,,January 15 - April 1,August 20 - October 1
8,Okra,,,April 1 - June 1,June 15 - July 1
8,Onion,,,January 1 - March 15,September 1 - December 31
8,"Peas, garden",,January 15 - February 15,,
8,Peas,,April 1 - August 1,,
8,Pepper,,April 1 - June 1,,
8,Potato,,,January 15 - March 1,August 1 - August 15
8,Sweet Potato,,April 15 - June 15,,
8,Radish,,,January 15 - April 1,September 1 - October 15
8,Spinach,,,January 15 - March 15,September 1 - October 15
8,"Squash, bush",,,April 1 - May 15,August 1 - 20
8,"Squash, winter",,April 1 - August 1,,
8,Tomato,,,March 25 - May 1,June 1 - August 10
8,Turnip,,,January 15 - April 1,August 10 - September 15
8,Watermelon,,March 20 - May 1,,
9,"Bean, bush",,,March - April,August - September
9,"Bean, pole",,,March - April,August - September
9,"Bean, lima",,March - August,,
9,Cantaloupe,,March - April,,
9,Corn,,,March - April,August
9,Cucumber,,,February - April,August - September
9,Eggplant,,February - July,,
9,Okra,,March - July,,
9,Peas,,March - August,,
9,Pepper,,,February - April,July - August
9,Sweet Potato,,March - June,,
9,Pumpkin,,,March - April,August
9,"Squash, Summer",,,March - April,August - September
9,"Squash, winter",,,March,August
9,"Tomato, Stake",,,February - April,August
9,Tomato,,,February - April,August
9,"Tomato, Container",,,February - April,August
9,Watermelon,,,March - April,July - August
9,"Watermelon, Small",,,March - April,July - August
9,"Watermelon, Seedless",,,March - April,July - August
9,Beet,,September - March,,
9,Broccoli,,August - February,,
9,Brussels Sprout,,September - November,,
9,Cabbage,,September - February,,
9,Carrot,,September - March,,
9,Cauliflower,,"January - February
August - October",,
9,Celery,,January - March,,
9,"Cabbage, Chinese",,October - February,,
9,Collard,,,February - April,August - November
9,Endive,,,February - March,September
9,Kale,,September - February,,
9,Kohlrabi,,September - March,,
9,Leek,,September - March,,
9,"Lettuce, leaf",,,February - March,September - October
9,Mustard,,September - May,,
9,Onion,,September - December,,
9,"Onion, Bunching",,August - March,,
9,"Onion, Multipliers",,August - March,,
9,Parsley,,September - March,,
9,Peas,,January - March,,
9,Potato,,January - March,,
9,Radish,,September - March,,
9,Spinach,,October - November,,
9,Strawberry,,October - November,,
9,Turnip,,,January - April,August - October
10,"Bean, bush",,,February - April,September
10,"Bean, pole",,,February - April,August - September
10,"Bean, lima",,,February - April,September
10,Cantaloupe,,February - April,,
10,Corn,,,February - March,August - September
10,Cucumber,,,February - March,September
10,Eggplant,,,January - March,August - September
10,Okra,,March - August,,
10,Peas,,March - September,,
10,Pepper,,,January - March,August - September
10,Sweet Potato,,February - June,,
10,Pumpkin,,,February - March,August
10,"Squash, Summer",,,February - March,August - September
10,"Squash, winter",,,February - March,August
10,"Tomato, Stake",,,January - March,September
10,Tomato,,,January - March,September
10,"Tomato, Container",,,January - March,September
10,Watermelon,,,January - March,August
10,"Watermelon, Small",,,January - March,August
10,"Watermelon, Seedless",,,January - March,August
10,Beet,,October - March,,
10,Broccoli,,August - January,,
10,Brussels Sprout,,October - November,,
10,Cabbage,,September - January,,
10,Carrot,,October - March,,
10,Cauliflower,,October - January,,
10,Celery,,August - February,,
10,"Cabbage, Chinese",,October - January,,
10,Collard,,August - March,,
10,Endive,,,January - February,September
10,Kale,,September - January,,
10,Kohlrabi,,October - March,,
10,Leek,,September - February,,
10,"Lettuce, leaf",,September - March,,
10,Mustard,,September - March,,
10,Onion,,September - December,,
10,"Onion, Bunching",,August - March,,
10,"Onion, Multipliers",,August - March,,
10,Parsley,,October - February,,
10,Peas,,September - March,,
10,Potato,,January - February,,
10,Radish,,September - March,,
10,Spinach,,October - November,,
10,Strawberry,,October - November,,
10,Turnip,,,January - March,September - November
11,"Bean, bush",,September - April,,
11,"Bean, pole",,August - April,,
11,"Bean, lima",,August - April,,
11,Cantaloupe,,,August - September,February - March
11,Corn,,August - March,,
11,Cucumber,,September - March,,
11,Eggplant,,,December - February,August - October
11,Okra,,August - September,,
11,Peas,,August - April,,
11,Pepper,,August - March,,
11,Sweet Potato,,February - June,,
11,Pumpkin,,,January - February,August - September
11,"Squash, Summer",,,January - March,September - October
11,"Squash, winter",,,January - February,September
11,"Tomato, Stake",,August - March,,
11,Tomato,,August - March,,
11,"Tomato, Container",,August - March,,
11,Watermelon,,,January - March,August - September
11,"Watermelon, Small",,,January - March,August - September
11,"Watermelon, Seedless",,,January - March,August - September
11,Beet,,October - February,,
11,Broccoli,,September - January,,
11,Brussels Sprout,,October - December,,
11,Cabbage,,September - January,,
11,Carrot,,October - February,,
11,Cauliflower,,October - January,,
11,Celery,,October - January,,
11,"Cabbage, Chinese",,November - January,,
11,Collard,,August - February,,
11,Endive,,September - January,,
11,Kale,,September - January,,
11,Kohlrabi,,October - February,,
11,Leek,,October - January,,
11,"Lettuce, leaf",,September - January,,
11,Mustard,,September - March,,
11,Onion,,September - November,,
11,"Onion, Bunching",,September - March,,
11,"Onion, Multipliers",,September - March,,
11,Parsley,,September - January,,
11,Peas,,September - February,,
11,Potato,,September - January,,
11,Radish,,October - March,,
11,Spinach,,October - January,,
11,Strawberry,,October - November,,
11,Turnip,,October - February,,
